day	downloads
2014-06-08	36749
2014-06-09	84018
2014-06-10	100076
2014-06-11	100944
2014-06-12	95670
2014-06-13	96167
2014-06-14	40681
2014-06-15	35701
2014-06-16	93045
2014-06-17	92928
2014-06-18	88677
2014-06-19	86751
2014-06-20	81909
2014-06-21	37034
2014-06-22	34382
2014-06-23	87284
2014-06-24	94399
2014-06-25	88138
2014-06-26	92511
2014-06-27	85343
2014-06-28	35954
2014-06-29	34233
2014-06-30	93289
2014-07-01	93861
2014-07-02	95446
2014-07-03	97327
2014-07-04	66524
2014-07-05	32936
2014-07-06	33347
2014-07-07	102607
2014-07-08	101699
2014-07-09	94712
2014-07-10	97379
2014-07-11	92380
2014-07-12	37091
2014-07-13	33403
2014-07-14	95161
2014-07-15	99119
2014-07-16	94567
2014-07-17	95967
2014-07-18	85788
2014-07-19	35703
2014-07-20	24195
2014-07-21	94214
2014-07-22	103212
2014-07-23	98514
2014-07-24	97605
2014-07-25	85887
2014-07-26	36297
2014-07-27	34910
2014-07-28	86833
2014-07-29	97505
2014-07-30	92940
2014-07-31	91555
2014-08-01	126869
2014-08-02	62006
2014-08-03	33413
2014-08-04	174464
2014-08-05	124537
2014-08-06	97649
2014-08-07	97708
2014-08-08	87857
2014-08-09	39736
2014-08-10	45109
2014-08-11	102592
2014-08-12	108883
2014-08-13	104341
2014-08-14	99942
2014-08-15	84330
2014-08-16	41560
2014-08-17	37823
2014-08-18	94509
2014-08-19	111766
2014-08-20	114726
2014-08-21	107185
2014-08-22	99883
2014-08-23	43509
2014-08-24	40024
2014-08-25	99364
2014-08-26	113122
2014-08-27	127439
2014-08-28	118348
2014-08-29	106351
2014-08-30	48442
2014-08-31	46066
2014-09-01	87258
2014-09-02	120167
2014-09-03	128731
2014-09-04	128641
2014-09-05	119641
2014-09-06	49011
2014-09-07	46982
2014-09-08	117127
2014-09-09	123675
2014-09-10	125248
2014-09-11	125818
2014-09-12	113541
2014-09-13	50736
2014-09-14	48945
2014-09-15	118460
2014-09-16	135357
2014-09-17	133665
2014-09-18	133530
2014-09-19	122935
2014-09-20	48728
2014-09-21	47845
2014-09-22	126909
2014-09-23	135019
2014-09-24	136048
2014-09-25	141424
2014-09-26	123419
2014-09-27	50862
2014-09-28	51271
2014-09-29	133861
2014-09-30	142661
2014-10-01	144449
2014-10-02	135383
2014-10-03	124060
2014-10-04	54337
2014-10-05	50945
2014-10-06	131290
2014-10-07	142776
2014-10-08	160810
2014-10-09	143251
2014-10-10	133230
2014-10-11	60936
2014-10-12	53571
2014-10-13	130246
2014-10-14	151066
2014-10-15	147340
2014-10-16	144408
2014-10-17	133353
2014-10-18	56490
2014-10-19	53465
2014-10-20	145342
2014-10-21	146210
2014-10-22	145966
2014-10-23	143281
2014-10-24	132136
2014-10-25	58520
2014-10-26	55518
2014-10-27	144058
2014-10-28	157459
2014-10-29	153860
2014-10-30	151567
2014-10-31	135940
2014-11-01	56616
2014-11-02	55061
2014-11-03	139189
2014-11-04	158265
2014-11-05	160432
2014-11-06	154384
2014-11-07	138672
2014-11-08	59042
2014-11-09	55842
2014-11-10	143325
2014-11-11	150387
2014-11-12	151155
2014-11-13	158595
2014-11-14	146175
2014-11-15	72214
2014-11-16	64219
2014-11-17	154156
2014-11-18	162429
2014-11-19	169146
2014-11-20	162485
2014-11-21	147406
2014-11-22	69009
2014-11-23	61540
2014-11-24	145954
2014-11-25	165326
2014-11-26	152981
2014-11-27	118573
2014-11-28	106218
2014-11-29	55767
2014-11-30	59752
2014-12-01	147804
2014-12-02	125092
2014-12-03	166200
2014-12-04	114822
2014-12-05	151192
2014-12-06	66426
2014-12-07	62170
2014-12-08	153988
2014-12-09	181075
2014-12-10	174557
2014-12-11	173665
2014-12-12	160992
2014-12-13	70512
2014-12-14	66792
2014-12-15	166431
2014-12-16	181044
2014-12-17	183340
2014-12-18	175573
2014-12-19	158506
2014-12-20	66015
2014-12-21	64509
2014-12-22	141570
2014-12-23	137262
2014-12-24	98551
2014-12-25	63115
2014-12-26	74621
2014-12-27	59709
2014-12-28	57165
2014-12-29	114918
2014-12-30	119677
2014-12-31	93550
2015-01-01	58873
2015-01-02	97572
2015-01-03	64626
2015-01-04	69230
2015-01-05	155281
2015-01-06	165062
2015-01-07	169913
2015-01-08	173766
2015-01-09	164042
2015-01-10	75186
2015-01-11	71783
2015-01-12	142359
2015-01-13	188788
2015-01-14	193841
2015-01-15	189086
2015-01-16	172187
2015-01-17	76553
2015-01-18	72247
2015-01-19	164426
2015-01-20	191546
2015-01-21	142902
2015-01-22	196208
2015-01-23	191363
2015-01-24	82934
2015-01-25	79004
2015-01-26	170173
2015-01-27	201248
2015-01-28	204320
2015-01-29	206548
2015-01-30	195690
2015-01-31	91619
2015-02-01	85087
2015-02-02	191044
2015-02-03	208587
2015-02-04	209889
2015-02-05	211527
2015-02-06	197645
2015-02-07	88367
2015-02-08	87920
2015-02-09	210083
2015-02-10	220191
2015-02-11	214033
2015-02-12	209260
2015-02-13	191048
2015-02-14	77958
2015-02-15	79159
2015-02-16	176198
2015-02-17	202210
2015-02-18	211665
2015-02-19	192510
2015-02-20	197567
2015-02-21	89719
2015-02-22	84332
2015-02-23	198632
2015-02-24	216297
2015-02-25	206145
2015-02-26	203903
2015-02-27	204162
2015-02-28	89195
2015-03-01	77786
2015-03-02	201752
2015-03-03	226903
2015-03-04	220314
2015-03-05	219906
2015-03-06	202909
2015-03-07	97141
2015-03-08	86853
2015-03-09	206816
2015-03-10	228006
2015-03-11	232311
2015-03-12	236499
2015-03-13	209719
2015-03-14	91547
2015-03-15	87837
2015-03-16	191009
2015-03-17	208496
2015-03-18	201012
2015-03-19	202557
2015-03-20	210556
2015-03-21	87834
2015-03-22	82668
2015-03-23	211991
2015-03-24	240246
2015-03-25	241207
2015-03-26	238472
2015-03-27	202330
2015-03-28	83237
2015-03-29	79061
2015-03-30	216771
2015-03-31	235234
2015-04-01	228023
2015-04-02	225584
2015-04-03	179195
2015-04-04	86351
2015-04-05	75236
2015-04-06	173444
2015-04-07	234021
2015-04-08	233548
2015-04-09	242164
2015-04-10	218093
2015-04-11	91296
2015-04-12	82067
2015-04-13	206479
2015-04-14	224523
2015-04-15	222709
2015-04-16	222285
2015-04-17	238347
2015-04-18	89733
2015-04-19	82627
2015-04-20	247706
2015-04-21	250094
2015-04-22	258130
2015-04-23	254982
2015-04-24	230900
2015-04-25	91027
2015-04-26	85871
2015-04-27	240609
2015-04-28	282726
2015-04-29	288259
2015-04-30	278394
2015-05-01	222526
2015-05-02	106038
2015-05-03	103639
2015-05-04	250747
2015-05-05	283886
2015-05-06	270741
2015-05-07	285604
2015-05-08	242257
2015-05-09	96988
2015-05-10	86538
2015-05-11	234778
2015-05-12	293443
2015-05-13	284286
2015-05-14	256149
2015-05-15	243985
2015-05-16	94720
2015-05-17	93469
2015-05-18	253541
2015-05-19	295382
2015-05-20	281967
2015-05-21	280249
2015-05-22	249365
