day	downloads
2014-08-27	53769
2014-08-28	54621
2014-08-29	44455
2014-08-30	28383
2014-08-31	28359
2014-09-01	38462
2014-09-02	63707
2014-09-03	76468
2014-09-04	60341
2014-09-05	54893
2014-09-06	24563
2014-09-07	21432
2014-09-08	50451
2014-09-09	67986
2014-09-10	51739
2014-09-11	52771
2014-09-12	44329
2014-09-13	22323
2014-09-14	21195
2014-09-15	45770
2014-09-16	57364
2014-09-17	57593
2014-09-18	63055
2014-09-19	54481
2014-09-20	33756
2014-09-21	25121
2014-09-22	56526
2014-09-23	55273
2014-09-24	59864
2014-09-25	63336
2014-09-26	51529
2014-09-27	26279
2014-09-28	28696
2014-09-29	68797
2014-09-30	59165
2014-10-01	61126
2014-10-02	53064
2014-10-03	53425
2014-10-04	28358
2014-10-05	24788
2014-10-06	52502
2014-10-07	56739
2014-10-08	60254
2014-10-09	62510
2014-10-10	59353
2014-10-11	28348
2014-10-12	24560
2014-10-13	62424
2014-10-14	59522
2014-10-15	62352
2014-10-16	57978
2014-10-17	54916
2014-10-18	32102
2014-10-19	26182
2014-10-20	57964
2014-10-21	60907
2014-10-22	60465
2014-10-23	60570
2014-10-24	63948
2014-10-25	35588
2014-10-26	30248
2014-10-27	59783
2014-10-28	67982
2014-10-29	78402
2014-10-30	64477
2014-10-31	62299
2014-11-01	31102
2014-11-02	28824
2014-11-03	62101
2014-11-04	69355
2014-11-05	66661
2014-11-06	61114
2014-11-07	60723
2014-11-08	30609
2014-11-09	31888
2014-11-10	65058
2014-11-11	67916
2014-11-12	66589
2014-11-13	67725
2014-11-14	58137
2014-11-15	35570
2014-11-16	31120
2014-11-17	61496
2014-11-18	68746
2014-11-19	67569
2014-11-20	64730
2014-11-21	61345
2014-11-22	32997
2014-11-23	35542
2014-11-24	66147
2014-11-25	70900
2014-11-26	62271
2014-11-27	52206
2014-11-28	44881
2014-11-29	27464
2014-11-30	28027
2014-12-01	61211
2014-12-02	50662
2014-12-03	63240
2014-12-04	45978
2014-12-05	63470
2014-12-06	36423
2014-12-07	30283
2014-12-08	59978
2014-12-09	75730
2014-12-10	84099
2014-12-11	79895
2014-12-12	68938
2014-12-13	38611
2014-12-14	35456
2014-12-15	64607
2014-12-16	72867
2014-12-17	76878
2014-12-18	69209
2014-12-19	63000
2014-12-20	31751
2014-12-21	37759
2014-12-22	64209
2014-12-23	54714
2014-12-24	44391
2014-12-25	32419
2014-12-26	36675
2014-12-27	25757
2014-12-28	28506
2014-12-29	47737
2014-12-30	48170
2014-12-31	40380
2015-01-01	28894
2015-01-02	38201
2015-01-03	32120
2015-01-04	32789
2015-01-05	66844
2015-01-06	67252
2015-01-07	64642
2015-01-08	64434
2015-01-09	67553
2015-01-10	49107
2015-01-11	36039
2015-01-12	62763
2015-01-13	82326
2015-01-14	85766
2015-01-15	69964
2015-01-16	73279
2015-01-17	34720
2015-01-18	37787
2015-01-19	65708
2015-01-20	76437
2015-01-21	57084
2015-01-22	75090
2015-01-23	73338
2015-01-24	37454
2015-01-25	36274
2015-01-26	68229
2015-01-27	84256
2015-01-28	74585
2015-01-29	81682
2015-01-30	72715
2015-01-31	43000
2015-02-01	45367
2015-02-02	75858
2015-02-03	82005
2015-02-04	81751
2015-02-05	76730
2015-02-06	69618
2015-02-07	45076
2015-02-08	37407
2015-02-09	80229
2015-02-10	78214
2015-02-11	84540
2015-02-12	78688
2015-02-13	98716
2015-02-14	55225
2015-02-15	42441
2015-02-16	73422
2015-02-17	71445
2015-02-18	78645
2015-02-19	94156
2015-02-20	81955
2015-02-21	38305
2015-02-22	66604
2015-02-23	111849
2015-02-24	86218
2015-02-25	80523
2015-02-26	97967
2015-02-27	80224
2015-02-28	40741
2015-03-01	49374
2015-03-02	99153
2015-03-03	102321
2015-03-04	92116
2015-03-05	92772
2015-03-06	86648
2015-03-07	52409
2015-03-08	49769
2015-03-09	83042
2015-03-10	93686
2015-03-11	98336
2015-03-12	96098
2015-03-13	81752
2015-03-14	41612
2015-03-15	61471
2015-03-16	91782
2015-03-17	99205
2015-03-18	90287
2015-03-19	105752
2015-03-20	83230
2015-03-21	48376
2015-03-22	50717
2015-03-23	102507
2015-03-24	104900
2015-03-25	155100
2015-03-26	102551
2015-03-27	81733
2015-03-28	40671
2015-03-29	46365
2015-03-30	79545
2015-03-31	88341
2015-04-01	88178
2015-04-02	90061
2015-04-03	92780
2015-04-04	46454
2015-04-05	43455
2015-04-06	78347
2015-04-07	96529
2015-04-08	94700
2015-04-09	103621
2015-04-10	82974
2015-04-11	55077
2015-04-12	44845
2015-04-13	80303
2015-04-14	106330
2015-04-15	110882
2015-04-16	93294
2015-04-17	75706
2015-04-18	37931
2015-04-19	51651
2015-04-20	95630
2015-04-21	101345
2015-04-22	107005
2015-04-23	107024
2015-04-24	97334
2015-04-25	37053
2015-04-26	34238
2015-04-27	87827
2015-04-28	105622
2015-04-29	101112
2015-04-30	101851
2015-05-01	76843
2015-05-02	38784
2015-05-03	41216
2015-05-04	96746
2015-05-05	95897
2015-05-06	93698
2015-05-07	102832
2015-05-08	81991
2015-05-09	44087
2015-05-10	47950
2015-05-11	83458
2015-05-12	99894
2015-05-13	98691
2015-05-14	90783
2015-05-15	84303
2015-05-16	44375
2015-05-17	40325
2015-05-18	103007
2015-05-19	108317
2015-05-20	104460
2015-05-21	114042
2015-05-22	92024
2015-05-23	48990
2015-05-24	36647
2015-05-25	64407
2015-05-26	91694
2015-05-27	104756
2015-05-28	106913
2015-05-29	108667
2015-05-30	58508
2015-05-31	51352
2015-06-01	105927
2015-06-02	110182
2015-06-03	116951
2015-06-04	108260
2015-06-05	94963
2015-06-06	44627
2015-06-07	49420
2015-06-08	99974
2015-06-09	108039
2015-06-10	91479
2015-06-11	111464
2015-06-12	99169
2015-06-13	54440
2015-06-14	63686
2015-06-15	136052
2015-06-16	98967
2015-06-17	114237
2015-06-18	101538
2015-06-19	91761
2015-06-20	41526
2015-06-21	52352
2015-06-22	118171
2015-06-23	113425
2015-06-24	119205
